countryName,currencyName,currencyCode,minorUnit,
AFGHANISTAN,Afghani,AFN,2,
ÅLAND ISLANDS,Euro,EUR,2,
ALBANIA,Lek,ALL,2,
ALGERIA,Algerian Dinar,DZD,2,
AMERICAN SAMOA,US Dollar,USD,2,
ANDORRA,Euro,EUR,2,
ANGOLA,Kwanza,AOA,2,
ANGUILLA,East Caribbean Dollar,XCD,2,
ANTARCTICA,No universal currency,,,
ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,2,
ARGENTINA,Argentine Peso,ARS,2,
ARMENIA,Armenian Dram,AMD,2,
ARUBA,Aruban Florin,AWG,2,
AUSTRALIA,Australian Dollar,AUD,2,
AUSTRIA,Euro,EUR,2,
AZERBAIJAN,Azerbaijanian Manat,AZN,2,
BAHAMAS (THE),Bahamian Dollar,BSD,2,
BAHRAIN,Bahraini Dinar,BHD,3,
BANGLADESH,Taka,BDT,2,
BARBADOS,Barbados Dollar,BBD,2,
BELARUS,Belarussian Ruble,BYR,0,
BELGIUM,Euro,EUR,2,
BELIZE,Belize Dollar,BZD,2,
BENIN,CFA Franc BCEAO,XOF,0,
BERMUDA,Bermudian Dollar,BMD,2,
BHUTAN,Ngultrum,BTN,2,
BHUTAN,Indian Rupee,INR,2,
BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,2,
BOLIVIA (PLURINATIONAL STATE OF),Mvdol,BOV,2,
"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,2,
BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,2,
BOTSWANA,Pula,BWP,2,
BOUVET ISLAND,Norwegian Krone,NOK,2,
BRAZIL,Brazilian Real,BRL,2,
BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,2,
BRUNEI DARUSSALAM,Brunei Dollar,BND,2,
BULGARIA,Bulgarian Lev,BGN,2,
BURKINA FASO,CFA Franc BCEAO,XOF,0,
BURUNDI,Burundi Franc,BIF,0,
CABO VERDE,Cabo Verde Escudo,CVE,2,
CAMBODIA,Riel,KHR,2,
CAMEROON,CFA Franc BEAC,XAF,0,
CANADA,Canadian Dollar,CAD,2,
CAYMAN ISLANDS (THE),Cayman Islands Dollar,KYD,2,
CENTRAL AFRICAN REPUBLIC (THE),CFA Franc BEAC,XAF,0,
CHAD,CFA Franc BEAC,XAF,0,
CHILE,Unidad de Fomento,CLF,4,
CHILE,Chilean Peso,CLP,0,
CHINA,Yuan Renminbi,CNY,2,
CHRISTMAS ISLAND,Australian Dollar,AUD,2,
COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,2,
COLOMBIA,Colombian Peso,COP,2,
COLOMBIA,Unidad de Valor Real,COU,2,
COMOROS (THE),Comoro Franc,KMF,0,
CONGO (THE DEMOCRATIC REPUBLIC OF THE),Congolese Franc,CDF,2,
CONGO (THE),CFA Franc BEAC,XAF,0,
COOK ISLANDS (THE),New Zealand Dollar,NZD,2,
COSTA RICA,Costa Rican Colon,CRC,2,
CÔTE D'IVOIRE,CFA Franc BCEAO,XOF,0,
CROATIA,Kuna,HRK,2,
CUBA,Peso Convertible,CUC,2,
CUBA,Cuban Peso,CUP,2,
CURAÇAO,Netherlands Antillean Guilder,ANG,2,
CYPRUS,Euro,EUR,2,
CZECH REPUBLIC (THE),Czech Koruna,CZK,2,
DENMARK,Danish Krone,DKK,2,
DJIBOUTI,Djibouti Franc,DJF,0,
DOMINICA,East Caribbean Dollar,XCD,2,
DOMINICAN REPUBLIC (THE),Dominican Peso,DOP,2,
ECUADOR,US Dollar,USD,2,
EGYPT,Egyptian Pound,EGP,2,
EL SALVADOR,El Salvador Colon,SVC,2,
EL SALVADOR,US Dollar,USD,2,
EQUATORIAL GUINEA,CFA Franc BEAC,XAF,0,
ERITREA,Nakfa,ERN,2,
ESTONIA,Euro,EUR,2,
ETHIOPIA,Ethiopian Birr,ETB,2,
EUROPEAN UNION,Euro,EUR,2,
FALKLAND ISLANDS (THE) [MALVINAS],Falkland Islands Pound,FKP,2,
FAROE ISLANDS (THE),Danish Krone,DKK,2,
FIJI,Fiji Dollar,FJD,2,
FINLAND,Euro,EUR,2,
FRANCE,Euro,EUR,2,
FRENCH GUIANA,Euro,EUR,2,
FRENCH POLYNESIA,CFP Franc,XPF,0,
FRENCH SOUTHERN TERRITORIES (THE),Euro,EUR,2,
GABON,CFA Franc BEAC,XAF,0,
GAMBIA (THE),Dalasi,GMD,2,
GEORGIA,Lari,GEL,2,
GERMANY,Euro,EUR,2,
GHANA,Ghana Cedi,GHS,2,
GIBRALTAR,Gibraltar Pound,GIP,2,
GREECE,Euro,EUR,2,
GREENLAND,Danish Krone,DKK,2,
GRENADA,East Caribbean Dollar,XCD,2,
GUADELOUPE,Euro,EUR,2,
GUAM,US Dollar,USD,2,
GUATEMALA,Quetzal,GTQ,2,
GUERNSEY,Pound Sterling,GBP,2,
GUINEA,Guinea Franc,GNF,0,
GUINEA-BISSAU,CFA Franc BCEAO,XOF,0,
GUYANA,Guyana Dollar,GYD,2,
HAITI,Gourde,HTG,2,
HAITI,US Dollar,USD,2,
HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,2,
HOLY SEE (THE),Euro,EUR,2,
HONDURAS,Lempira,HNL,2,
HONG KONG,Hong Kong Dollar,HKD,2,
HUNGARY,Forint,HUF,2,
ICELAND,Iceland Krona,ISK,0,
INDIA,Indian Rupee,INR,2,
INDONESIA,Rupiah,IDR,2,
INTERNATIONAL MONETARY FUND (IMF) ,SDR (Special Drawing Right),XDR,N.A.,
IRAN (ISLAMIC REPUBLIC OF),Iranian Rial,IRR,2,
IRAQ,Iraqi Dinar,IQD,3,
IRELAND,Euro,EUR,2,
ISLE OF MAN,Pound Sterling,GBP,2,
ISRAEL,New Israeli Sheqel,ILS,2,
ITALY,Euro,EUR,2,
JAMAICA,Jamaican Dollar,JMD,2,
JAPAN,Yen,JPY,0,
JERSEY,Pound Sterling,GBP,2,
JORDAN,Jordanian Dinar,JOD,3,
KAZAKHSTAN,Tenge,KZT,2,
KENYA,Kenyan Shilling,KES,2,
KIRIBATI,Australian Dollar,AUD,2,
KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF),North Korean Won,KPW,2,
KOREA (THE REPUBLIC OF),Won,KRW,0,
KUWAIT,Kuwaiti Dinar,KWD,3,
KYRGYZSTAN,Som,KGS,2,
LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE),Kip,LAK,2,
LATVIA,Euro,EUR,2,
LEBANON,Lebanese Pound,LBP,2,
LESOTHO,Loti,LSL,2,
LESOTHO,Rand,ZAR,2,
LIBERIA,Liberian Dollar,LRD,2,
LIBYA,Libyan Dinar,LYD,3,
LIECHTENSTEIN,Swiss Franc,CHF,2,
LITHUANIA,Euro,EUR,2,
LUXEMBOURG,Euro,EUR,2,
MACAO,Pataca,MOP,2,
MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF),Denar,MKD,2,
MADAGASCAR,Malagasy Ariary,MGA,2,
MALAWI,Kwacha,MWK,2,
MALAYSIA,Malaysian Ringgit,MYR,2,
MALDIVES,Rufiyaa,MVR,2,
MALI,CFA Franc BCEAO,XOF,0,
MALTA,Euro,EUR,2,
MARSHALL ISLANDS (THE),US Dollar,USD,2,
MARTINIQUE,Euro,EUR,2,
MAURITANIA,Ouguiya,MRO,2,
MAURITIUS,Mauritius Rupee,MUR,2,
MAYOTTE,Euro,EUR,2,
